année,type de zone administrative,nom,population,cog (code officiel géographique),url,frais de séjour et d'hébergement,taxe départementale de publicité foncière et droits d'enregistrement,dotation globale de fonctionnement,dotations et participations,apa,imposition forfaitaire sur les entreprises de réseau - base nette imposée,imposition forfaitaire sur les entreprises de réseau - réductions de bases accordées sur délibérations,imposition forfaitaire sur les entreprises de réseau - taux,imposition forfaitaire sur les entreprises de réseau - produits,cotisation valeur ajoutée des entreprises - base nette imposée,cotisation valeur ajoutée des entreprises - réductions de bases accordées sur délibérations,cotisation valeur ajoutée des entreprises - taux,cotisation valeur ajoutée des entreprises - produits,taxe professionnelle - base nette imposée,taxe professionnelle - réductions de bases accordées sur délibérations,taxe professionnelle - taux,taxe professionnelle - produits,compensation-relais 2010 - base nette imposée,compensation-relais 2010 - réductions de bases accordées sur délibérations,compensation-relais 2010 - taux,compensation-relais 2010 - produits,annuité des dettes bancaires et assimilées,encours des dettes bancaires et assimilées,caf nette du remboursement en capital des emprunts,remboursement d'emprunts et dettes assimilées,dépenses d'équipement,fctva,charges financières,= besoin ou capacité de financement de la section d'investissement = e,résultat d'ensemble = r - e,taxe d'habitation - base nette imposée,taxe d'habitation - réductions de bases accordées sur délibérations,taxe d'habitation - taux,taxe d'habitation - produits,aides à la personne,total des ressources d'investissement budgétaires = c,dépenses d'investissement directes,total des emplois d'investissement = d,taxe foncière sur les propriétés non bâties - base nette imposée,taxe foncière sur les propriétés non bâties - réductions de bases accordées sur délibérations,taxe foncière sur les propriétés non bâties - taux,taxe foncière sur les propriétés non bâties - produits,emprunts bancaires et dettes assimilées,impôts locaux,contributions obligatoires et participations,resultat comptable = a - b = r,total des charges de fonctionnement = b,charges de fonctionnement réelles,produits de fonctionnement réels,total des produits de fonctionnement = a,autres impôts et taxes,subventions d'équipement versées,pch,taxe foncière sur les propriétés bâties - base nette imposée,taxe foncière sur les propriétés bâties - réductions de bases accordées sur délibérations,taxe foncière sur les propriétés bâties - taux,taxe foncière sur les propriétés bâties - produits,achats et charges externes,attributions de péréquation et de compensation,subventions reçues,fiscalité reversée,besoin ou capacité de financement résiduel de la section d'investissement = d - c,rsa,capacité d'autofinancement = caf,produits des cessions d'immobilisations,charge de personnel,subventions,subventions et contingents,excédent brut de fonctionnement,solde des opérations pour le compte de tiers,tipp,fonds de roulement
2008,department,YVELINES,1354304,078,http://alize2.finances.gouv.fr/departements/detail.php?dep=078&exercice=2008,0.0,233499000.0,144000000.0,187138000.0,50972000.0,,,,,,,,,2971089000.0,2086000.0,0.0453,134591000.0,,,,,0.0,0.0,,0.0,,16758000.0,0.0,-23824000.0,163910000.0,2302031000.0,1295000.0,0.048,110498000.0,340551000.0,295529000.0,116251000.0,271804000.0,4522000.0,4000.0,0.1654,745000.0,0.0,347017000.0,151593000.0,140086000.0,785485000.0,737702000.0,915660000.0,925571000.0,354172000.0,147731000.0,11232000.0,2062943000.0,1339000.0,0.046,94895000.0,42483000.0,8771000.0,15519000.0,0.0,-23725000.0,0.0,177959000.0,2908000.0,144439000.0,42187000.0,548530000.0,,-100000.0,49038000.0,
2008,department,SEINE-ET-MARNE,1193767,077,http://alize2.finances.gouv.fr/departements/detail.php?dep=077&exercice=2008,0.0,173446000.0,157431000.0,213530000.0,43218000.0,,,,,,,,,2242705000.0,2086000.0,0.0678,152056000.0,,,,,83345000.0,819684000.0,,50666000.0,,17772000.0,34444000.0,-60274000.0,136066000.0,1404039000.0,1295000.0,0.06480000000000001,90981000.0,342125000.0,476111000.0,157546000.0,415426000.0,5782000.0,4000.0,0.2938,1699000.0,130000000.0,392791000.0,181102000.0,75792000.0,876325000.0,834464000.0,941975000.0,952117000.0,302077000.0,75282000.0,7226000.0,1334059000.0,1339000.0,0.111,148082000.0,50351000.0,10932000.0,29298000.0,0.0,-60685000.0,0.0,107511000.0,1669000.0,174560000.0,44867000.0,570750000.0,,411000.0,51295000.0,
2008,department,MARNE,565229,051,http://alize2.finances.gouv.fr/departements/detail.php?dep=051&exercice=2008,0.0,51173000.0,82791000.0,118297000.0,31908000.0,,,,,,,,,1035514000.0,1637000.0,0.045899999999999996,47531000.0,,,,,38412000.0,126679000.0,,30428000.0,,9916000.0,7993000.0,-20749000.0,93888000.0,571438000.0,1146000.0,0.0668,38171000.0,145795000.0,156234000.0,62325000.0,136351000.0,2307000.0,4000.0,0.0784,181000.0,0.0,123058000.0,20588000.0,73139000.0,331277000.0,303099000.0,384490000.0,404416000.0,121048000.0,22160000.0,0.0,496225000.0,953000.0,0.07400000000000001,36721000.0,41889000.0,7256000.0,11708000.0,0.0,-19883000.0,56000.0,81391000.0,1197000.0,68231000.0,15763000.0,184173000.0,,-866000.0,33243000.0,
2008,department,AUBE,292131,010,http://alize2.finances.gouv.fr/departements/detail.php?dep=010&exercice=2008,0.0,22423000.0,62022000.0,88502000.0,24882000.0,,,,,,,,,600089000.0,1706000.0,0.0739,44347000.0,,,,,4680000.0,69355000.0,,2677000.0,,7904000.0,2421000.0,4497000.0,27559000.0,255024000.0,1015000.0,0.0907,23130000.0,107936000.0,109370000.0,66798000.0,113805000.0,1181000.0,3000.0,0.1543,182000.0,0.0,99789000.0,14560000.0,32056000.0,241238000.0,219185000.0,263784000.0,273294000.0,68975000.0,18180000.0,2229000.0,246563000.0,885000.0,0.1301,32077000.0,37054000.0,7455000.0,16283000.0,0.0,4435000.0,0.0,44599000.0,6939000.0,45237000.0,8928000.0,134183000.0,,62000.0,21946000.0,
2008,department,ARDENNES,290130,008,http://alize2.finances.gouv.fr/departements/detail.php?dep=008&exercice=2008,0.0,15504000.0,72219000.0,96815000.0,26883000.0,,,,,,,,,673328000.0,1706000.0,0.0827,55684000.0,,,,,17253000.0,143810000.0,,11318000.0,,7398000.0,6368000.0,6834000.0,12539000.0,205283000.0,1015000.0,0.0909,18662000.0,108127000.0,117649000.0,27463000.0,124483000.0,564000.0,3000.0,0.2118,120000.0,30700000.0,102531000.0,20292000.0,19373000.0,284640000.0,239897000.0,273701000.0,304012000.0,64337000.0,37597000.0,1258000.0,210934000.0,885000.0,0.1424,30037000.0,36562000.0,5611000.0,4223000.0,0.0,6834000.0,0.0,33805000.0,26895000.0,57627000.0,7734000.0,138498000.0,,0.0,25531000.0,
2008,department,HAUTE-MARNE,194873,052,http://alize2.finances.gouv.fr/departements/detail.php?dep=052&exercice=2008,0.0,9429000.0,50506000.0,68488000.0,16298000.0,,,,,,,,,324511000.0,1300000.0,0.0795,25799000.0,,,,,3613000.0,13994000.0,,3072000.0,,5086000.0,549000.0,-3285000.0,16907000.0,140494000.0,1014000.0,0.087,12223000.0,55554000.0,63336000.0,40754000.0,59901000.0,289000.0,3000.0,0.22260000000000002,64000.0,1500000.0,58939000.0,13365000.0,13622000.0,155639000.0,134106000.0,167602000.0,169260000.0,36292000.0,11375000.0,1941000.0,123475000.0,872000.0,0.1656,20447000.0,21271000.0,5419000.0,15371000.0,0.0,-3436000.0,0.0,33496000.0,286000.0,36338000.0,5227000.0,75416000.0,,150000.0,10570000.0,
2008,department,OISE,766441,060,http://alize2.finances.gouv.fr/departements/detail.php?dep=060&exercice=2008,0.0,75240000.0,143562000.0,186410000.0,31674000.0,,,,,,,,,1451515000.0,1637000.0,0.0872,126572000.0,,,,,23363000.0,158861000.0,,18064000.0,,11286000.0,10058000.0,-36233000.0,87482000.0,718279000.0,1146000.0,0.0828,59473000.0,235387000.0,260896000.0,80653000.0,228947000.0,2192000.0,4000.0,0.3599,789000.0,50000000.0,276061000.0,52575000.0,51250000.0,596648000.0,554637000.0,645059000.0,647898000.0,165357000.0,69140000.0,6297000.0,641719000.0,953000.0,0.1448,92922000.0,101573000.0,10858000.0,29092000.0,0.0,-31949000.0,225000.0,90422000.0,431000.0,111840000.0,29122000.0,330361000.0,,-4284000.0,42285000.0,
2008,department,SOMME,555551,080,http://alize2.finances.gouv.fr/departements/detail.php?dep=080&exercice=2008,0.0,40724000.0,114224000.0,164880000.0,53310000.0,,,,,,,,,1020695000.0,1637000.0,0.0877,89515000.0,,,,,33944000.0,273237000.0,,23901000.0,,10670000.0,10734000.0,-13321000.0,53416000.0,460347000.0,1146000.0,0.1104,50823000.0,213062000.0,135522000.0,58006000.0,122108000.0,1142000.0,4000.0,0.3132,358000.0,37000000.0,204754000.0,36780000.0,40096000.0,465038000.0,435596000.0,497451000.0,505134000.0,118040000.0,36047000.0,6629000.0,403718000.0,953000.0,0.1598,64513000.0,56019000.0,15389000.0,12650000.0,0.0,-13414000.0,0.0,61855000.0,3254000.0,91033000.0,23777000.0,276603000.0,,94000.0,43030000.0,
2008,department,AISNE,535489,002,http://alize2.finances.gouv.fr/departements/detail.php?dep=002&exercice=2008,0.0,34398000.0,109209000.0,158788000.0,40781000.0,,,,,,,,,822619000.0,1637000.0,0.0897,73789000.0,,,,,24298000.0,260957000.0,,14897000.0,,7913000.0,9761000.0,-25173000.0,54372000.0,441803000.0,1146000.0,0.1148,50719000.0,174671000.0,155286000.0,68893000.0,129789000.0,1745000.0,4000.0,0.33630000000000004,587000.0,45000000.0,183583000.0,52527000.0,29198000.0,426105000.0,392785000.0,453230000.0,455303000.0,99211000.0,44227000.0,5510000.0,385356000.0,953000.0,0.1552,59808000.0,57394000.0,17887000.0,20379000.0,0.0,-25497000.0,0.0,60444000.0,704000.0,77310000.0,17595000.0,247743000.0,,323000.0,31453000.0,
2008,department,EURE,541054,027,http://alize2.finances.gouv.fr/departements/detail.php?dep=027&exercice=2008,0.0,51816000.0,102709000.0,143555000.0,32581000.0,,,,,,,,,1057742000.0,1637000.0,0.0693,73302000.0,,,,,25419000.0,250575000.0,,17716000.0,,8332000.0,8603000.0,-24457000.0,75445000.0,459814000.0,1146000.0,0.0632,29062000.0,165448000.0,224580000.0,75469000.0,198245000.0,2331000.0,4000.0,0.3414,794000.0,48541000.0,158776000.0,66447000.0,50988000.0,398545000.0,365269000.0,444414000.0,449533000.0,118331000.0,42246000.0,3748000.0,402362000.0,953000.0,0.1334,53676000.0,34608000.0,11903000.0,18466000.0,0.0,-26334000.0,439000.0,79145000.0,1120000.0,71345000.0,16033000.0,249793000.0,,1878000.0,29860000.0,
